district,superset_district_iso,geojson_geometry
Abim,UG-317,"{""type"":""Polygon"",""coordinates"":[[[33.55880984919514,3.140945543002374],[33.55504440487539,3.195721684008504],[33.60853546054307,3.190135708795935],[33.63776924745281,3.175518815341036],[33.67869654930627,3.178442193852163],[33.67849246615435,3.087589625760586],[33.6705342952215,3.053922431175238],[33.704744093964734,3.028988552080023],[33.71590620310877,2.994442857451872],[33.84240575672027,2.93287838273119],[33.84075646304029,2.832411404562663],[33.847371046836315,2.668545437222122],[33.871452264310506,2.659424547205106],[33.95062055799235,2.61689484322244],[33.96074913926134,2.594570624035043],[33.98297000476191,2.569300849054912],[33.99464887874274,2.541214707692575],[34.0174898618676,2.522507838765762],[34.01997033056631,2.510467231377618],[34.00612104714861,2.502431545179661],[33.97532189309089,2.501733914088845],[33.90142459516892,2.492871404691584],[33.83713911277982,2.500416165373736],[33.77171674972817,2.501139634886215],[33.71115197128643,2.467033188930486],[33.68210981641488,2.458454902171979],[33.651207309569656,2.456439521466734],[33.62991662005595,2.485662543491571],[33.599944289197595,2.507754217782917],[33.53421186688411,2.596430976008719],[33.52470340323947,2.668674628431347],[33.55260867744846,2.735518092985615],[33.603768345033075,2.783344631149816],[33.60387169782058,2.81791616509895],[33.59663699729958,2.848121039054718],[33.58165083232001,2.873752550140068],[33.5777234227977,2.903776556942546],[33.571212192688506,2.930622463056238],[33.57286583818785,2.960439765183025],[33.55880984919514,3.140945543002374]]]}"
Adjumani,UG-301,"{""type"":""Polygon"",""coordinates"":[[[32.02223590666176,3.586420194936011],[32.03016849700009,3.585932109000098],[32.04153731300005,3.57986012800005],[32.05422597800009,3.559571835000057],[32.05419884639963,3.558775336512554],[32.04934126178978,3.416174221163374],[32.04283003078126,3.403720200826569],[32.0304276872879,3.397053941086483],[32.02846398342609,3.376693427559644],[32.03063439286291,3.355609442721573],[32.039109327733286,3.338091132199963],[32.041589797331255,3.321141262459264],[32.02184939963007,3.285096951063451],[32.01967898929388,3.264323025487215],[32.02453657390373,3.24285146702158],[32.018852166094575,3.224196274938151],[32.0085168801499,3.206367906054027],[31.9965279478065,3.190451565087642],[31.98154178192766,3.176783148823233],[31.97534061018098,3.157688707168063],[31.97399702304415,3.136346339911654],[31.937100050926574,3.076375841571803],[31.93492963969112,3.056041165567308],[31.930898879179892,3.036197415078618],[31.730650166671808,2.974067389098707],[31.625052183911123,2.957394024015002],[31.593865187328504,2.913930975733933],[31.568957146654952,2.877964178703849],[31.55500450955043,2.869127509526948],[31.53640099520976,2.868636583111822],[31.523585238767737,2.875328681273629],[31.51480024643422,2.889488023053786],[31.488651971411343,2.896774400418224],[31.467581509678894,2.924047292948217],[31.443497758814487,2.944425850472612],[31.40224897630918,2.955504666207389],[31.4153747902144,2.993848578249299],[31.43015424961891,3.014855047822209],[31.47562951029363,3.06304332119231],[31.5124231296237,3.118595486292634],[31.524515414754546,3.144666246050406],[31.551198763911827,3.20193105667289],[31.5629626813826,3.24419505505773],[31.567303501155607,3.271118476436527],[31.570404086579288,3.278973292783235],[31.575571729551655,3.285717067788426],[31.582393018922687,3.292460841894354],[31.58838748509436,3.300057278520569],[31.596965772752185,3.334525457883558],[31.611641880268564,3.353128974022923],[31.646161737374257,3.387597154285231],[31.65256961379663,3.406355699156165],[31.6574271993058,3.431651313457337],[31.664248487777456,3.453846340536188],[31.681715122355,3.467592271166382],[31.686676059752358,3.476971544501168],[31.693290642649004,3.486350816037316],[31.70383263506801,3.490614122343857],[31.725846794993572,3.492629503049102],[31.748584426230252,3.497461249237233],[31.758299594550635,3.503507392252345],[31.78269087128666,3.52536652344628],[31.803721550609055,3.533270574977053],[31.815196159774928,3.535223700113647],[31.813080274435094,3.522243556594844],[31.82325280017659,3.520331122183507],[31.841319207015772,3.521673895433935],[31.85035240953607,3.513698634684204],[31.861745639049957,3.506293035994815],[31.873952670479355,3.500596421687476],[31.885752800051648,3.497503973329685],[31.908376497976974,3.499457098466337],[31.92815188919832,3.510280665919993],[31.941905143907263,3.527655340321701],[31.947125277609473,3.549266872867861],[31.958287387652774,3.563400377125674],[32.00882693941168,3.578231513373623],[32.02223590666176,3.586420194936011]]]}"
Agago,UG-322,"{""type"":""Polygon"",""coordinates"":[[[33.550024855062986,3.268741360525382],[33.55504440487539,3.195721684008504],[33.55880984919514,3.140945543002374],[33.57286583818785,2.960439765183025],[33.571212192688506,2.930622463056238],[33.5777234227977,2.903776556942546],[33.58165083232001,2.873752550140068],[33.59663699729958,2.848121039054718],[33.60387169782058,2.81791616509895],[33.603768345033075,2.783344631149816],[33.55260867744846,2.735518092985615],[33.52470340323947,2.668674628431347],[33.53421186688411,2.596430976008719],[33.47705773312788,2.593769639257459],[33.43209923728995,2.629348863559187],[33.41638960099925,2.612554023449434],[33.39819949690923,2.604595852516582],[33.37515180820935,2.613225816118529],[33.35355106033313,2.61593882881391],[33.33701460084313,2.598911444707369],[33.31810102724057,2.588601996285092],[33.27717329281319,2.60201203013105],[33.23500532403648,2.598239651138954],[33.21898563028259,2.603071397327142],[33.20286258284193,2.604285793254746],[33.1799182469295,2.596379299165335],[33.162865025300675,2.605267646084997],[33.148395624258626,2.6161196959672],[33.12865522565812,2.611830553037578],[33.079403914958675,2.675621057565763],[33.05601688507119,2.710701601497703],[33.0823272934698,2.739935388407446],[33.21095595695181,2.745782146328963],[33.24311312237268,2.78086269026096],[33.248959879394874,2.84810040051309],[33.228496228917834,2.88318094534435],[33.164181897176775,2.886104323855477],[33.111561080379545,2.894874460288122],[33.10571432335729,2.929955004220062],[33.13494811026703,2.95334203410755],[33.15541176074413,2.976729063995094],[33.15541176074413,3.017656365848609],[33.19049230557545,3.111204483600034],[33.21431407043798,3.18802332991271],[33.27293582492837,3.178152574381784],[33.31272667779393,3.191976020277082],[33.360048270011646,3.195982466717453],[33.35148400188518,3.262359319826714],[33.41669966026109,3.260059719180674],[33.38931115088889,3.299488836840339],[33.47054650211936,3.291091417235123],[33.488323195059365,3.280730291969405],[33.50485965275078,3.267268582179327],[33.52697716636311,3.265459906149715],[33.550024855062986,3.268741360525382]]]}"
Alebtong,UG-323,"{""type"":""Polygon"",""coordinates"":[[[33.37122439958637,2.019308579827111],[33.33308719311947,2.038738918266461],[33.2912292818059,2.039462389577579],[33.27800011601255,2.062096666228172],[33.26218712693435,2.08168203429841],[33.21278445763659,2.091216335465504],[33.17340701682036,2.111499335525878],[33.15542361830529,2.104109605373992],[33.13619998544095,2.108037013996977],[33.118113234138434,2.078891506337925],[33.08586714015638,2.066282457269551],[33.079403914958675,2.222497357766827],[33.05894026358226,2.257577902598143],[33.02093634113919,2.278041553075184],[32.9829324177968,2.307275339984926],[32.96831552434196,2.342355884816243],[32.9332349795107,2.354049399759958],[32.88938429914606,2.354049399759958],[32.89523105616831,2.377436429647503],[32.93908173743222,2.394976701613473],[32.96539214493151,2.424210488523215],[32.96539214493151,2.453444275432958],[33.0180129617288,2.441750760489185],[33.06478702150383,2.441750760489185],[33.088174050492,2.459291033354475],[33.12617797383439,2.459291033354475],[33.17002865419903,2.441750760489185],[33.18464554855319,2.403746838046118],[33.20510919903029,2.383283186669701],[33.25188325880532,2.371589671725985],[33.327891104590776,2.368666293214858],[33.377588542876936,2.351126021248888],[33.39220543633178,2.339432506305116],[33.48867693349365,2.339432506305116],[33.51498734189232,2.356972778271086],[33.54609744644,2.355928860528479],[33.544960564878124,2.329832262349044],[33.548474562351146,2.289834703009149],[33.519535760267104,2.261541856071801],[33.48418908086137,2.236633816297569],[33.443984815946465,2.235987861150875],[33.45473351394048,2.220381578547006],[33.470236443756846,2.207565823004302],[33.47623090992852,2.187980454934063],[33.471373325318666,2.165811265377556],[33.46816938710754,2.15725881614145],[33.46413862479767,2.149145616477028],[33.466722446283825,2.13762177212709],[33.47075320769437,2.128345852479072],[33.45669721870166,2.111654364257504],[33.43644005706295,2.105711574929217],[33.425277947918914,2.121886298313996],[33.4096716653151,2.125193590212007],[33.36977745876271,2.091862291511518],[33.364609815790345,2.052381497008469],[33.37122439958637,2.019308579827111]]]}"
Amolatar,UG-314,"{""type"":""Polygon"",""coordinates"":[[[32.88825646296539,1.808158678480197],[32.98933556468455,1.715451157944585],[32.979000277840555,1.664291490359972],[32.943343540072306,1.645584622332422],[32.96525434721036,1.562437242284886],[32.96422081933531,1.473553778484074],[32.81136193240724,1.47520742398342],[32.687958612399996,1.470530707426178],[32.600999119513745,1.462718505454632],[32.57496178485849,1.488145249903368],[32.55555109390781,1.520540545909455],[32.52654056099806,1.515936590801005],[32.50611412896387,1.521307684701867],[32.47536176933016,1.551585191503364],[32.453705274278946,1.567246812090673],[32.42936974471792,1.574167792209835],[32.383894484043196,1.603106594293877],[32.317748650579745,1.623777167082608],[32.30286583838773,1.648581854968597],[32.34834109906245,1.6551964378653],[32.52445438026541,1.65271596916665],[32.59473432792686,1.651889145967289],[32.6294608897083,1.671732896455978],[32.69540001759674,1.732736925368783],[32.77332807782852,1.801544093784912],[32.88825646296539,1.808158678480197]]]}"
Amudat,UG-324,"{""type"":""Polygon"",""coordinates"":[[[34.92234338300011,2.210718893000134],[34.967508586000065,2.101914164000078],[34.96761193800012,2.082561340000026],[34.95820682800013,2.037964580000107],[34.956656535000036,2.018508403000027],[34.95789676900006,1.997837830000108],[34.96203088300007,1.977813212000072],[34.96916223100004,1.960294902000015],[34.977947225000094,1.949907939000084],[35.00140832500006,1.927997132000129],[35.006472615000064,1.916860860000014],[35.002751912000065,1.906138001000087],[34.984045044000084,1.882470194000064],[34.9797042240001,1.870300395000058],[34.97867069500012,1.675945333000044],[34.97267622900006,1.654241231000057],[34.94094689900004,1.587036031000082],[34.93371219900007,1.575693054000098],[34.92348026500008,1.566107076000094],[34.913558390000105,1.561559550000069],[34.89257775900012,1.5572704060001],[34.88255253000011,1.552231954000121],[34.859504842000035,1.517918803000015],[34.83842085800012,1.437174378000066],[34.77899296100014,1.388546855000058],[34.78074667671774,1.371789121770519],[34.7802340019976,1.372422999921525],[34.74220014831815,1.419448554207406],[34.68122195782706,1.513990587395654],[34.637275385450664,1.540856558283508],[34.6976316938476,1.580275865239003],[34.75042526771193,1.613871776861004],[34.78882059399518,1.681063598306423],[34.80321884157627,1.777051914014635],[34.80321884157627,1.906636141344848],[34.80801825713684,1.993025626831184],[34.86081183190049,1.99782504239181],[34.84161416785952,2.113011022140938],[34.884808910602715,2.151406348424246],[34.92234338300011,2.210718893000134]]]}"
Amuria,UG-216,"{""type"":""Polygon"",""coordinates"":[[[33.443778110371454,1.887430324949548],[33.41731977698612,1.917402654908585],[33.41638960099925,1.957710273510315],[33.4030570824184,1.970422675366137],[33.38435021259221,1.979956977432551],[33.37587527772189,1.998715522303485],[33.37122439958637,2.019308579827111],[33.364609815790345,2.052381497008469],[33.36977745876271,2.091862291511518],[33.4096716653151,2.125193590212007],[33.425277947918914,2.121886298313996],[33.43644005706295,2.105711574929217],[33.45669721870166,2.111654364257504],[33.47075320769437,2.128345852479072],[33.466722446283825,2.13762177212709],[33.46413862479767,2.149145616477028],[33.46816938710754,2.15725881614145],[33.471373325318666,2.165811265377556],[33.47623090992852,2.187980454934063],[33.470236443756846,2.207565823004302],[33.45473351394048,2.220381578547006],[33.443984815946465,2.235987861150875],[33.48418908086137,2.236633816297569],[33.519535760267104,2.261541856071801],[33.548474562351146,2.289834703009149],[33.544960564878124,2.329832262349044],[33.54609744644,2.355928860528479],[33.57596642361153,2.337583725908189],[33.61007286956726,2.332106025472683],[33.63777143730198,2.36037303308899],[33.67311811670771,2.361975001744952],[33.723657667567295,2.412876287810434],[33.748669061028295,2.402230943503241],[33.90566206215442,2.304304104051141],[33.886645134865034,2.25787282986721],[33.87848025925655,2.209477850922099],[33.884578078215725,2.192760525178073],[33.89584354014721,2.179557196007806],[33.90566206215442,2.135813096996799],[33.907109002078755,2.112713731453539],[33.89698042170909,2.091087144256278],[33.89088260274991,2.073956407362289],[33.89263960103676,2.05512034722625],[33.89956424319524,2.044785061281516],[33.90163130074393,2.034268907284229],[33.89512006973541,2.024553738064526],[33.889745721188035,2.014295966485633],[33.88912560356374,1.997759507894955],[33.89667036334657,1.982566637340426],[33.89222618988674,1.93737559750582],[33.89791059679658,1.916498318242759],[33.89698042170909,1.89668040617579],[33.863907505426994,1.871023057568038],[33.85171186660932,1.845443223326072],[33.868558383562515,1.810664984701248],[33.869901970699345,1.771313381407424],[33.846647577323836,1.735139878802329],[33.809027133895086,1.708319810211037],[33.7984851423754,1.720205389766932],[33.79001020660576,1.73172923411687],[33.787012973969524,1.753355821314074],[33.781638625422204,1.774000556580404],[33.75269982333816,1.807150987228283],[33.71817996623241,1.835159613325459],[33.709394972100256,1.847019355358952],[33.699576450093105,1.85738047882603],[33.677975702216884,1.868206692085153],[33.659682245339354,1.883657945058133],[33.65575483581699,1.90091787406061],[33.649243604808476,1.918126125320441],[33.629193149644095,1.926316840249967],[33.60769575365606,1.930916042441368],[33.57462283737402,1.949700425734022],[33.549818150387296,1.977011419841119],[33.53090457498615,2.012926540927083],[33.49225060368241,2.021427314219181],[33.46837609178317,2.003753974066626],[33.462691684873334,1.971223660143778],[33.45111616368001,1.930399278503899],[33.443778110371454,1.887430324949548]]]}"
Amuru,UG-319,"{""type"":""Polygon"",""coordinates"":[[[32.15584558100011,3.511776428000061],[32.16798954200004,3.512241516000074],[32.17455244900009,3.520897318000038],[32.17592855775672,3.527233818186176],[32.196102328859354,3.50128530507277],[32.200753207894195,3.48257843704522],[32.2112952003132,3.466145331242046],[32.21687625533491,3.446069036756626],[32.25656375541297,3.406148993581155],[32.2686560396445,3.373902900498422],[32.320229120177714,3.313699856363257],[32.357444535936565,3.286692430211474],[32.319034828594454,3.252016652246709],[32.28161215147958,3.200560470988933],[32.21846138328618,3.14676537252393],[32.19975004472877,3.116359447030845],[32.17869978896408,3.05320867883745],[32.1763608717568,2.994735745058563],[32.19351850827252,2.952688299825184],[32.2161224660789,2.786572102820287],[32.213783548871675,2.763182928948993],[32.20108336250718,2.729452688290905],[32.17981762018701,2.740085559001329],[32.13728613734537,2.750718429711753],[32.10184323407799,2.77552846226871],[32.055767460999505,2.77552846226871],[32.020324557732124,2.779072752505499],[31.984881655364063,2.800338493926347],[31.74741420590084,2.796794203689558],[31.719059884006413,2.771984172031921],[31.70488272215988,2.732996978527751],[31.58792114344601,2.732996978527751],[31.545389659704995,2.711731237106903],[31.499313885727247,2.66211117289231],[31.467415273595975,2.630212560761038],[31.423539665822886,2.617308254372404],[31.416408318988715,2.638418076732819],[31.41961225809922,2.662008367791941],[31.424883253859036,2.667434394082022],[31.442039829174746,2.676426092889869],[31.44751753140895,2.681852118280631],[31.449274529695742,2.693892727467414],[31.446690708209587,2.70590749823242],[31.442659945899777,2.717250474529749],[31.437182244564895,2.752467962726314],[31.427363721658423,2.764276027916367],[31.4122742038914,2.772027493274209],[31.392843866351313,2.785515042385271],[31.371036411101443,2.821068427366015],[31.367625767315303,2.86279714657104],[31.376720818910655,2.903518175423471],[31.40224897630918,2.955504666207389],[31.443497758814487,2.944425850472612],[31.467581509678894,2.924047292948217],[31.488651971411343,2.896774400418224],[31.51480024643422,2.889488023053786],[31.523585238767737,2.875328681273629],[31.53640099520976,2.868636583111822],[31.55500450955043,2.869127509526948],[31.568957146654952,2.877964178703849],[31.593865187328504,2.913930975733933],[31.625052183911123,2.957394024015002],[31.730650166671808,2.974067389098707],[31.930898879179892,3.036197415078618],[31.93492963969112,3.056041165567308],[31.937100050926574,3.076375841571803],[31.97399702304415,3.136346339911654],[31.97534061018098,3.157688707168063],[31.98154178192766,3.176783148823233],[31.9965279478065,3.190451565087642],[32.0085168801499,3.206367906054027],[32.018852166094575,3.224196274938151],[32.02453657390373,3.24285146702158],[32.01967898929388,3.264323025487215],[32.02184939963007,3.285096951063451],[32.041589797331255,3.321141262459264],[32.039109327733286,3.338091132199963],[32.03063439286291,3.355609442721573],[32.02846398342609,3.376693427559644],[32.0304276872879,3.397053941086483],[32.04283003078126,3.403720200826569],[32.04934126178978,3.416174221163374],[32.05419884639963,3.558775336512554],[32.05422597800009,3.559571835000057],[32.060864299000116,3.548957621000056],[32.076160523000055,3.533170471000062],[32.093007040000145,3.5244629930001],[32.15584558100011,3.511776428000061]]]}"
Apac,UG-302,"{""type"":""Polygon"",""coordinates"":[[[32.30286583838773,1.648581854968597],[32.23516971221244,1.668270574927078],[32.21201866982574,1.676357937069156],[32.177602166406814,1.677520657052696],[32.141015251752435,1.667185370208642],[32.104221633321686,1.647806707713357],[32.101534458148706,1.665635077496802],[32.1117663922052,1.697131863544655],[32.104221633321686,1.715451157944585],[32.11548709525323,1.729093735787274],[32.14628624931095,1.757980861927251],[32.152590772945814,1.767282619996877],[32.162822707002306,1.778212185144241],[32.20912478997707,1.788004868729672],[32.22152713436975,1.798624376413841],[32.23279259630124,1.793818467748054],[32.24095747190978,1.796608994809276],[32.24881229005513,1.801957505834196],[32.25904422411162,1.804825548160522],[32.27051639161817,1.809476427195364],[32.27444380114048,1.820586860395281],[32.27578738827731,1.833376777516264],[32.27950809132534,1.843324489833321],[32.296561313853545,1.849835719942519],[32.32250288330141,1.856579494947709],[32.34151980969142,1.867896632823317],[32.337592401068434,1.887998764831138],[32.342656691253296,1.894509995839599],[32.344517043226915,1.903139960340866],[32.34441369043947,1.925257473053932],[32.34637739430127,1.933939114398584],[32.35154503817296,1.940915432501185],[32.36549767437816,1.95566905438335],[32.35247521326045,1.96008738942146],[32.341623163378244,1.962490342855006],[32.33418175638292,1.967451280252362],[32.33139122932175,1.979569402905611],[32.33428510917042,1.992746894553534],[32.34792768701311,2.019282742304711],[32.351855095636154,2.031375027435558],[32.35133833169863,2.050236925093998],[32.34679080635061,2.07266449616958],[32.422708594026346,2.04101978423563],[32.47070275233011,2.050618616256145],[32.53210249193643,2.144365546232962],[32.549731005381545,2.180344297950967],[32.5999698076605,2.178646677402241],[32.67305427493483,2.178646677402241],[32.6905945469008,2.158183026925144],[32.711058198277215,2.140642754059854],[32.7490621216196,2.137719375548727],[32.7695257720967,2.120179103582757],[32.81280887233157,2.106745102804268],[32.82810509567361,2.091681423458908],[32.84567508303866,2.081242783827406],[32.867585890176656,2.082431342232667],[32.8880497582897,2.074705715296489],[32.87967817620682,2.028842881893468],[32.864278599177965,1.985202134770702],[32.86820600780101,1.949881292887369],[32.9127510915896,1.943163357203161],[32.94675418475782,1.927737941752582],[32.943343540072306,1.867173163310838],[33.02471983215452,1.81738946834929],[32.98933556468455,1.715451157944585],[32.88825646296539,1.808158678480197],[32.77332807782852,1.801544093784912],[32.69540001759674,1.732736925368783],[32.6294608897083,1.671732896455978],[32.59473432792686,1.651889145967289],[32.52445438026541,1.65271596916665],[32.34834109906245,1.6551964378653],[32.30286583838773,1.648581854968597]]]}"
Arua,UG-303,"{""type"":""Polygon"",""coordinates"":[[[30.770779427484992,2.675847141744667],[30.797685587000103,2.748360495000028],[30.798925822000058,2.753528138000121],[30.799132528000086,2.763450012000121],[30.801612997000063,2.769082743000055],[30.805850464000116,2.771873271000118],[30.81794274900011,2.77419871000005],[30.82187015700009,2.776162415000087],[30.82869144700004,2.786084290000076],[30.853392782000128,2.853367005000067],[30.854839722000122,2.893209534000079],[30.843987671000093,2.932793681000135],[30.82093998200014,2.973152975000104],[30.80362837700011,2.989069316000041],[30.757067912000082,3.021470439000041],[30.74507898000013,3.036301575000067],[30.743838745000062,3.055473531000075],[30.747869507000075,3.076712545000049],[30.763415783000085,3.12343695000007],[30.80765994644935,3.12203196939987],[30.915767043114556,3.117226059834763],[30.95076818680235,3.156121041352947],[30.992868698331733,3.184188049638749],[31.020935706617536,3.214593975131834],[31.027952459138646,3.26605015638961],[31.05374311695124,3.312976385951458],[31.07482710088999,3.292202460375222],[31.103145786249,3.297861028863394],[31.122472771900902,3.312898870686297],[31.130741001196213,3.336540839488123],[31.150998162834924,3.348064682938741],[31.17652632023345,3.343930568740745],[31.20546512231755,3.334887193089457],[31.22530887190692,3.314345811510009],[31.266236607233623,3.28427012786409],[31.316982862768896,3.269826565243761],[31.335689731695766,3.253574327493197],[31.347782016826613,3.230009873956533],[31.371243116676453,3.2228010118572],[31.398528273261206,3.21933869122762],[31.419302198837386,3.176111355254818],[31.424159784346557,3.130687771423482],[31.5124231296237,3.118595486292634],[31.47562951029363,3.06304332119231],[31.43015424961891,3.014855047822209],[31.4153747902144,2.993848578249299],[31.40224897630918,2.955504666207389],[31.376720818910655,2.903518175423471],[31.367625767315303,2.86279714657104],[31.371036411101443,2.821068427366015],[31.392843866351313,2.785515042385271],[31.348298780764082,2.762105618479495],[31.32959191273659,2.753837389184127],[31.325044387388573,2.740324000752025],[31.316362746043865,2.724717719047476],[31.301996697789377,2.713581448325158],[31.296725702029505,2.698517768080535],[31.29837934662953,2.67797638650103],[31.287837355109843,2.663558661403101],[31.251973910867264,2.635575872828269],[31.154762926367937,2.622948953331502],[31.11486778182268,2.60015172762013],[31.04830549210476,2.58889263558666],[30.98883751783717,2.61477610883037],[30.988940870624674,2.66025137040441],[30.975815056719455,2.69704498883516],[30.966047861719403,2.737264347071971],[30.92456011315869,2.731337525206584],[30.868255311733208,2.712075356392575],[30.834176090054484,2.689849776645872],[30.770779427484992,2.675847141744667]]]}"
