district,superset_district_iso
Abim,UG-317
Adjumani,UG-301
Agago,UG-322
Alebtong,UG-323
Amolatar,UG-314
Amudat,UG-324
Amuria,UG-216
Amuru,UG-319
Apac,UG-302
Arua,UG-303
Budaka,UG-217
Bududa,UG-223
Bugiri,UG-201
Buhweju,UG-325
Buikwe,UG-117
Bukedea,UG-224
Bukomansimbi,UG-118
Bukwa,UG-218
Bulambuli,UG-225
Buliisa,UG-419
Bundibugyo,UG-401
Bushenyi,UG-402
Busia,UG-202
Butaleja,UG-219
Butambala,UG-119
Buvuma,UG-120
Buyende,UG-226
Dokolo,UG-318
Gomba,UG-121
Gulu,UG-304
Hoima,UG-403
Ibanda,UG-416
Iganga,UG-203
Isingiro,UG-417
Jinja,UG-204
Kaabong,UG-315
Kabale,UG-404
Kabarole,UG-405
Kaberamaido,UG-213
Kalangala,UG-101
Kaliro,UG-220
Kalungu,UG-122
Kampala,UG-102
Kamuli,UG-205
Kamwenge,UG-413
Kanungu,UG-414
Kapchorwa,UG-206
Kasese,UG-406
Katakwi,UG-207
Kayunga,UG-112
Kibale,UG-407
Kiboga,UG-103
Kibuku,UG-227
Kiryandongo,UG-420
Kisoro,UG-408
Kitgum,UG-305
Koboko,UG-316
Kole,UG-326
Kotido,UG-306
Kumi,UG-208
Kween,UG-228
Kyankwanzi,UG-123
Kyegegwa,UG-421
Kyenjojo,UG-415
Lamwo,UG-327
Lira,UG-307
Luuka,UG-229
Luweero,UG-104
Lwengo,UG-124
Lyantonde,UG-116
Manafwa,UG-221
Maracha,UG-320
Masaka,UG-105
Masindi,UG-409
Mayuge,UG-214
Mbale,UG-209
Mbarara,UG-410
Mitooma,UG-422
Mityana,UG-114
Moroto,UG-308
Moyo,UG-309
Mpigi,UG-106
Mubende,UG-107
Mukono,UG-108
Nakapiripirit,UG-311
Nakaseke,UG-115
Nakasongola,UG-109
Namayingo,UG-230
Namutumba,UG-222
Napak,UG-328
Nebbi,UG-310
Ngora,UG-231
Ntoroko,UG-423
Ntungamo,UG-411
Nwoya,UG-329
Otuke,UG-330
Oyam,UG-321
Pader,UG-312
Pallisa,UG-210
Rakai,UG-110
Rubirizi,UG-424
Rukungiri,UG-412
Sembabule,UG-111
Serere,UG-232
Sheema,UG-425
Sironko,UG-215
Soroti,UG-211
Tororo,UG-212
Wakiso,UG-113
Yumbe,UG-313
Zombo,UG-331
